"","network","state","site_name","description","start","end","latitude","longitude","elev","county","site_id"
"27","SNTL","CO","sawtooth ","Middle Saint Vrain Creek (101900050102)",2014-09-01,2019-12-10,40.14,-105.59,2932,"Boulder",1251
"28","SNTL","NV","dry creek ","Upper Secret Creek (160401010601)",2013-10-01,2019-12-10,40.86,-115.22,1998,"Elko",1243
"29","SNTL","NV","little valley ","Franktown Creek-Frontal Washoe Lake (160501020301)",2013-10-01,2019-12-10,39.25,-119.88,1979,"Washoe",1242
"30","SNTL","NV","pole canyon ","Woods Creek-Franklin River (160600071101)",2013-10-01,2019-12-10,40.86,-115.12,2365,"Elko",1244
"31","SNTL","UT","corral ","Grassy Trail Reservoir-Grassy Trail Creek (140600070903)",2013-10-01,2019-12-10,39.66,-110.38,2501,"Carbon",1236
"32","SNTL","UT","sunflower flat ","Oak Creek (140700030406)",2013-10-01,2019-12-10,38.05,-111.34,3053,"Garfield",1249
"33","SNTL","UT","suu ranch ","Crow Creek-Coal Creek (160300060306)",2013-10-01,2019-12-10,37.6,-112.93,2454,"Iron",1248
"34","SNTL","UT","takka wiiya ","Fifteenmile Creek (160203060804)",2013-10-01,2019-12-10,39.74,-113.98,2780,"Juab",1247
"35","SNTL","WA","muckamuck ","West Fork Salmon Creek (170200062001)",2014-06-01,2019-12-10,48.59,-119.87,1362,"Okanogan",1259
"36","SNTL","NM","rio santa barbara ","Outlet Rio Santa Barbara (130201010905)",2013-09-01,2019-12-10,36.07,-105.63,3250,"Taos",1254
"37","SNTL","UT","bevans cabin ","Settlement Canyon (160203040401)",2012-10-01,2019-12-10,40.46,-112.25,1987,"Tooele",1214
"38","SNTL","UT","buckboard flat ","North Creek-Montezuma Creek (140802030103)",2012-10-01,2019-12-10,37.87,-109.45,2720,"San Juan",1153
"39","SNTL","UT","gbrc hq ","Ephraim Creek (160300040307)",2012-10-01,2019-12-10,39.32,-111.49,2683,"Sanpete",1221
"40","SNTL","UT","gbrc meadows ","Ephraim Creek (160300040307)",2012-10-01,2019-12-10,39.3,-111.45,3005,"Sanpete",1222
"41","SNTL","UT","hobble creek ","Upper Diamond Fork (160202020304)",2012-10-01,2019-12-10,40.19,-111.36,2249,"Utah",1223
"42","SNTL","UT","huntington horse ","Gooseberry Creek (140600070201)",2012-10-01,2019-12-10,39.62,-111.31,2942,"Sanpete",1216
"43","SNTL","UT","lasal mountain-lower ","Horse Creek-Mill Creek (140300050404)",2012-10-01,2019-12-10,38.48,-109.29,2677,"San Juan",1215
"44","SNTL","UT","mt baldy ","Headwaters Twelvemile Creek (160300040402)",2012-10-01,2019-12-10,39.14,-111.51,2903,"Sanpete",1224
"45","SNTL","UT","redden mine lwr ","Thorn Creek-Beaver Creek (160201010103)",2012-10-01,2019-12-10,40.68,-111.22,2601,"Summit",1225
"46","SNTL","UT","rees flat ","Quaking Aspen Creek-Chicken Creek (160300050202)",2012-10-01,2019-12-10,39.5,-111.73,2196,"Juab",1217
"47","SNTL","UT","thistle flat ","Manti Canyon (160300040501)",2012-10-01,2019-12-10,39.24,-111.52,2678,"Sanpete",1226
"48","SNTL","UT","upper joes valley ","Indian Creek (140600090201)",2012-10-01,2019-12-10,39.42,-111.25,2620,"Emery",1227
"49","SNTL","UT","wrigley creek ","Millsite Reservoir-Ferron Creek (140600090303)",2012-10-01,2019-12-10,39.13,-111.36,2843,"Sanpete",1228
"50","SNTL","UT","yankee reservoir ","Center Creek-Parowan Creek (160300060202)",2012-10-01,2019-12-10,37.75,-112.77,2649,"Iron",1197
"51","SNTL","AK","mcneil river sgs ","Mikfik Creek-Frontal Kamishak Bay (190206021207)",2012-06-01,2019-12-10,59.08,-154.28,43,"Kenai Peninsula",1191
"52","SNTL","AZ","bar m ","Bar M Canyon (150602020601)",2012-09-01,2019-12-10,34.86,-111.61,1949,"Coconino",1212
"53","SNTL","NV","bird creek ","Timber Creek-Duck Creek (160600081304)",2011-10-01,2019-12-10,39.46,-114.65,2297,"White Pine",1155
"54","SNTL","NV","cave mountain ","Bastian Creek (160600080402)",2011-10-01,2019-12-10,39.16,-114.61,3224,"White Pine",1152
"55","SNTL","NV","columbia basin ","Columbia Creek (170501050503)",2011-12-01,2019-12-10,41.67,-116.07,1976,"Elko",1204
"56","SNTL","NV","corduroy flat ","Black Canyon Wash (160600121206)",2011-12-01,2019-12-10,39,-115.42,2633,"White Pine",1209
"57","SNTL","NV","defiance mines ","Cooper Wash-Willow Creek (160600081002)",2011-12-01,2019-12-10,39.09,-114.9,2835,"White Pine",1210
"58","SNTL","NV","golconda ","Pole Creek (160401080102)",2011-10-01,2019-12-10,40.88,-117.59,2017,"Humboldt",1195
"59","SNTL","NV","jakes creek ","Upper Jakes Creek (170402130308)",2011-12-01,2019-12-10,41.57,-115.03,2249,"Elko",1211
"60","SNTL","NV","kalamazoo ","Lower Spring Valley Creek (160600080700)",2011-10-01,2019-12-10,39.56,-114.63,2370,"White Pine",1150
"61","SNTL","NV","merritt mountain ","Merritt Creek-Sheep Creek (170501020601)",2011-12-01,2019-12-10,41.89,-115.86,2108,"Elko",1207
"62","SNTL","NV","midas ","Frazer Creek (160401060402)",2011-12-01,2019-12-10,41.27,-116.8,2021,"Elko",1206
"63","SNTL","NV","silver creek nv ","Headwaters Silver Creek (160203010806)",2011-12-01,2019-12-10,39.23,-114.24,2499,"White Pine",1205
"64","SNTL","NV","snowstorm mtn ","First Creek-South Fork Little Humboldt River (160401090203)",2011-12-01,2019-12-10,41.34,-116.98,2256,"Elko",1208
"65","SNTL","NV","stag mountain ","Stag Creek (170501020101)",2011-12-01,2019-12-10,41.41,-115.45,2329,"Elko",1203
"66","SNTL","NV","summit lk ","Summit Lake (160402021301)",2011-10-01,2019-12-10,41.49,-119,2321,"Humboldt",1194
"67","SNTL","NV","tent mtn lower ","Starr Creek (160401010704)",2011-12-01,2019-12-10,40.98,-115.17,2164,"Elko",1202
"68","SNTL","NV","vacarro springs ","Torre Creek-Slough Creek-Frontal Diamond Valley (160600051503)",2011-10-01,2019-12-10,39.45,-115.98,2405,"Eureka",1137
"69","SNTL","NV","white river nv ","Saddle Spring-White River (150100110302)",2011-12-01,2019-12-10,38.95,-115.38,2245,"White Pine",1213
"70","SNTL","OR","howard prairie ","Upper Jenny Creek (180102060401)",2012-09-01,2019-12-10,42.22,-122.37,1396,"Jackson",1158
"71","SNTL","OR","smith ridge ","Smith River (170900040203)",2011-10-01,2019-12-10,44.3,-122.04,997,"Linn",1167
"72","SNTL","UT","brian head ","Dry Lakes Creek (160300060201)",2011-10-01,2019-12-10,37.68,-112.86,3060,"Iron",1154
"73","SNTL","UT","buck pasture ","Upper Cottonwood Creek (140401070301)",2011-11-01,2019-12-10,40.84,-110.66,2936,"Summit",1192
"74","SNTL","UT","gooseberry rs up ","Gooseberry Creek (160300030405)",2011-10-01,2019-12-10,38.79,-111.69,2559,"Sevier",1184
"75","SNTL","WA","satus pass ","Headwaters Little Klickitat River (170701060301)",2012-08-01,2019-12-10,45.99,-120.68,1207,"Klickitat",1231
"76","SNTL","WY","med bow ","Spring Creek (101800040302)",2012-08-01,2019-12-10,41.38,-106.35,3200,"Carbon",1196
"77","SNTL","AK","american creek ","American Creek (190705050504)",2011-08-01,2019-12-10,64.79,-141.23,320,"Southeast Fairbanks",1189
"78","SNTL","AK","exit glacier ","Oulet Resurrection River (190202020508)",2011-07-01,2019-12-10,60.19,-149.62,122,"Kenai Peninsula",1092
"79","SNTL","CO","black mesa ","Fish Creek (140300020103)",2011-07-01,2019-12-10,37.79,-108.18,3530,"Dolores",1185
"80","SNTL","CO","black mountain ","Upper Dale Creek (101900070501)",2010-10-01,2019-12-10,40.89,-105.66,2719,"Larimer",1161
"81","SNTL","CO","fool creek ","Saint Louis Creek (140100010203)",2011-07-01,2019-12-10,39.87,-105.87,3399,"Grand",1186
"82","SNTL","CO","high lonesome ","Meadows Creek-Ranch Creek (140100010205)",2011-07-01,2019-12-10,40.04,-105.75,3237,"Grand",1187
"83","SNTL","CO","wager gulch ","Lake Sanc Cristobal-Lake Fork (140200020602)",2011-07-01,2019-12-10,37.88,-107.36,3383,"Hinsdale",1188
"84","SNTL","CO","weminuche creek ","Sand Creek (140801020203)",2010-10-01,2019-12-10,37.52,-107.32,3274,"Archuleta",1160
"85","SNTL","NM","san antonio sink ","Canada Tio Grande-Rio San Antonio (130100050301)",2011-07-01,2019-12-10,36.86,-106.23,2774,"Rio Arriba",1172
"86","SNTL","NV","wheeler peak ","Lehman Creek (160203010801)",2010-10-01,2019-12-10,39.01,-114.31,3066,"White Pine",1147
"87","SNTL","OR","bear grass ","Smith River (170900040203)",2011-07-01,2019-12-10,44.33,-122.09,1439,"Linn",1166
"88","SNTL","UT","bear river rs ","Cottonwood Creek-Mill Creek (160101010106)",2010-10-01,2019-12-10,40.89,-110.83,2675,"Summit",992
"89","SNTL","UT","blacks fork jct ","Lower Cottonwood Creek (140401070303)",2010-10-01,2019-12-10,40.96,-110.58,2703,"Summit",1162
"90","SNTL","UT","box springs ","Box Creek (160300020107)",2010-10-01,2019-12-10,38.5,-112.01,2813,"Piute",1156
"91","SNTL","UT","ef blacks fork gs ","Sage Creek (140401070302)",2010-10-01,2019-12-10,40.88,-110.54,2853,"Summit",1163
"92","SNTL","UT","fish lake utah ","Deadman Hollow (140700030108)",2010-10-01,2019-12-10,38.5,-111.77,2682,"Sevier",1149
"93","SNTL","UT","george creek ","George Creek (170402100401)",2010-10-01,2019-12-10,41.92,-113.41,2732,"Box Elder",1151
"94","SNTL","UT","kilfoil creek ","Upper Lost Creek (160201010603)",2010-10-01,2019-12-10,41.25,-111.41,2201,"Morgan",1145
"95","SNTL","UT","lost creek resv ","Upper Lost Creek (160201010603)",2010-10-01,2019-12-10,41.22,-111.36,1854,"Morgan",1118
"96","SNTL","UT","oak creek ","Oak Creek Sinks (160300051505)",2010-10-01,2019-12-10,39.35,-112.33,2393,"Millard",1146
"97","SNTL","WA","gold axe camp ","Lower Toroda Creek (170200021204)",2010-10-01,2019-12-10,48.95,-118.99,1634,"Okanogan",1159
"98","SNTL","WA","gold mountain ","Wilmont Creek (170200011703)",2010-10-01,2019-12-10,48.19,-118.46,1338,"Ferry",1256
"99","SNTL","AZ","beaver spring ","Tsaile Creek-Tsaile Lake (140802040401)",2009-10-01,2019-12-10,36.33,-109.06,2804,"Apache",1143
"100","SNTL","MT","blacktail mtn ","Ronan Creek (170102080302)",2010-08-01,2019-12-10,47.98,-114.35,1722,"Flathead",1144
"101","SNTL","NM","palo ","Headwaters Rio Fernando del Taos (130201010601)",2010-08-01,2019-12-10,36.41,-105.33,2850,"Taos",1170
"102","SNTL","NM","shuree ","Comanche Creek (130201010102)",2010-08-01,2019-12-10,36.79,-105.24,3078,"Colfax",1169
"103","SNTL","NM","taos powderhorn ","Headwaters Arroyo Hondo (130201010701)",2010-08-01,2019-12-10,36.58,-105.46,3370,"Taos",1168
"104","SNTL","NV","porter canyon ","Porter Canyon-Porter Creek (160600020102)",2009-10-01,2019-12-10,39.47,-117.62,2191,"Lander",2170
"105","SNTL","NV","toe jam ","Toe Jam Creek (160401060202)",2009-10-01,2019-12-10,41.32,-116.34,2344,"Elko",1136
"106","SNTL","UT","burts miller ranch ","West Fork Bear River (160101010105)",2009-10-01,2019-12-10,40.98,-110.85,2438,"Summit",1135
"107","SNTL","UT","garden city summit ","Garden City Canyon-Frontal Bear River (160102010106)",2009-10-01,2019-12-10,41.92,-111.47,2348,"Cache",1114
"108","SNTL","UT","klondike narrows ","Hells Kitchen Canyon-Logan River (160102030302)",2009-10-01,2019-12-10,41.97,-111.6,2210,"Cache",1115
"109","SNTL","UT","lakefork #3 ","Crystal Creek-Yellowstone River (140600030705)",2009-10-01,2019-12-10,40.55,-110.35,2580,"Duchesne",1116
"110","SNTL","UT","spirit lk ","Horseshoe Canyon-Green River (140401060501)",2009-10-01,2019-12-10,40.84,-110.01,3120,"Daggett",1117
"111","SNTL","UT","tony grove rs ","Tony Grove Creek (160102030304)",2009-10-01,2019-12-10,41.89,-111.57,1930,"Cache",1113
"112","SNTL","WA","trinity ","Phelps Creek (170200110302)",2010-08-01,2019-12-10,48.07,-120.85,893,"Chelan",1171
"113","SNTL","WY","castle creek ","Upper Wiggins Fork (100800010401)",2010-08-01,2019-12-10,43.67,-109.38,2560,"Fremont",1130
"114","SNTL","WY","larsen creek ","Pool Creek-Sweetwater River (101800060101)",2010-08-01,2019-12-10,42.58,-109.09,2743,"Sublette",1134
"115","SNTL","WY","little goose ","Sheep Creek-Tongue River (100901010105)",2010-08-01,2019-12-10,44.54,-107.18,2704,"Johnson",1131
"116","SNTL","WY","soldier park ","North Clear Creek (100902060103)",2010-08-01,2019-12-10,44.35,-107.01,2658,"Johnson",1132
"117","SNTL","AZ","baker butte smt ","Toms Creek (150602030103)",2009-05-01,2019-12-10,34.46,-111.38,2347,"Coconino",1140
"118","SNTL","AZ","chalender ","Pitman Valley-Scholz Lake (150602020305)",2009-05-01,2019-12-10,35.26,-112.06,2164,"Coconino",1139
"119","SNTL","CO","elliot ridge ","Deep Creek-Blue River (140100020602)",2009-08-01,2019-12-10,39.86,-106.42,3206,"Summit",1120
"120","SNTL","CO","hourglass lake ","Beaver Creek (101900070101)",2008-10-01,2019-12-10,40.58,-105.63,2859,"Larimer",1122
"121","SNTL","CO","long draw resv ","La Poudre Pass Creek (101900070203)",2008-10-01,2019-12-10,40.51,-105.77,3042,"Larimer",1123
"122","SNTL","CO","moon pass ","California Gulch (130100040201)",2008-10-01,2019-12-10,37.97,-106.56,3395,"Saguache",1124
"123","SNTL","CO","sargents mesa ","Middle Creek (130100040306)",2008-10-01,2019-12-10,38.29,-106.37,3514,"Saguache",1128
"124","SNTL","CO","upper taylor ","Upper Taylor River (140200010101)",2009-08-01,2019-12-10,38.99,-106.75,3243,"Gunnison",1141
"125","SNTL","ID","pierce r.s. ","Upper Orofino Creek (170603060401)",2009-09-01,2019-12-10,46.5,-115.8,939,"Clearwater",1142
"126","SNTL","NM","navajo whiskey ck ","Whiskey Creek (Local Drainage) (140802040206)",2009-05-01,2019-12-10,36.18,-108.95,2758,"San Juan",1138
"127","SNTL","NV","bristlecone trail ","Lee Canyon (150100150206)",2008-10-01,2019-12-10,36.32,-115.7,2710,"Clark",1111
"128","SNTL","NV","lee canyon ","Lee Canyon (150100150206)",2008-10-01,2019-12-10,36.31,-115.68,2629,"Clark",1112
"129","SNTL","NV","rainbow canyon ","Kyle Canyon (150100150301)",2008-10-01,2019-12-10,36.25,-115.63,2396,"Clark",1110
"130","SNTL","WA","brown top ","Little Beaver Creek (171100050601)",2009-09-01,2019-12-10,48.93,-121.2,1777,"Whatcom",1080
"131","SNTL","WA","indian rock ","Headwaters Little Klickitat River (170701060301)",2008-10-01,2019-12-10,45.99,-120.81,1634,"Klickitat",1129
"132","SNTL","WY","blackhall mtn ","Billie Creek-Encampment River (101800020504)",2009-08-01,2019-12-10,41.06,-106.71,2993,"Carbon",1119
"133","SNTL","WY","pocket creek ","Cottonwood Creek (140401020505)",2009-09-01,2019-12-10,42.71,-109.41,2853,"Sublette",1133
"134","SNTL","AK","chisana ","Red Hill Creek-Chisana River (190803010305)",2007-10-01,2019-12-10,62.07,-142.05,1012,"Valdez-cordova",1093
"135","SNTL","AZ","fort valley ","Upper Rio de Flag (150200150102)",2008-06-01,2019-12-10,35.27,-111.74,2240,"Coconino",1121
"136","SNTL","AZ","mormon mtn summit ","Walnut Creek-Upper Lake Mary (150200150202)",2008-06-01,2019-12-10,34.97,-111.51,2591,"Coconino",1125
"137","SNTL","AZ","nutrioso ","San Francisco River-Luna Lake (150400040301)",2008-06-01,2019-12-10,33.9,-109.16,2591,"Apache",1127
"138","SNTL","MT","east boulder mine ","Upper East Boulder River (100700020701)",2008-06-01,2019-12-10,45.5,-110.08,1931,"Sweet Grass",1105
"139","SNTL","MT","elk peak ","Alabaugh Creek (100402010203)",2008-07-01,2019-12-10,46.48,-110.71,2316,"Meagher",1106
"140","SNTL","UT","jones corral ","East Fork Sevier River Outlet (160300020507)",2007-10-01,2019-12-10,38.07,-112.17,2971,"Garfield",1099
"141","SNTL","UT","timberline ","Grassy Trail Reservoir-Grassy Trail Creek (140600070903)",2007-10-01,2019-12-10,39.68,-110.43,2663,"Carbon",1097
"142","SNTL","UT","usu doc daniel ","Big Creek (160102010103)",2007-10-01,2019-12-10,41.86,-111.51,2521,"Rich",1098
"143","SNTL","WA","buckinghorse ","Headwaters Elwha River (171100200501)",2008-06-01,2019-12-10,47.71,-123.46,1484,"Jefferson",1107
"144","SNTL","WA","calamity ","Lower Canyon Creek (170800020603)",2008-08-01,2019-12-10,45.9,-122.22,762,"Skamania",1109
"145","SNTL","WA","easy pass ","Indian Creek-Chilliwack River (171100010101)",2008-09-01,2019-12-10,48.86,-121.44,1606,"Whatcom",998
"146","SNTL","AK","may creek ","Lower Young Creek (190201031603)",2006-10-01,2019-12-10,61.35,-142.71,491,"Valdez-cordova",1096
"147","SNTL","AK","sugarloaf mtn ","Solomon Gulch (190202011101)",2006-10-01,2019-12-10,61.08,-146.3,168,"Valdez-cordova",1095
"148","SNTL","CO","chapman tunnel ","Deeds Creek-Fryingpan River (140100040504)",2007-09-01,2019-12-10,39.26,-106.63,3082,"Pitkin",1101
"149","SNTL","CO","hayden pass ","Piney Creek-San Luis Creek (130100030301)",2007-08-01,2019-12-10,38.29,-105.85,3267,"Saguache",1102
"150","SNTL","CO","saint elmo ","Headwaters Chalk Creek (110200010501)",2007-08-01,2019-12-10,38.7,-106.37,3213,"Chaffee",1100
"151","SNTL","OR","milk shakes ","Upper Mill Creek (170701020201)",2007-05-01,2019-12-10,45.98,-117.95,1701,"Wallowa",1079
"152","SNTL","OR","swan lake mtn ","Grizzly Butte (180102040802)",2006-10-01,2019-12-10,42.41,-121.68,2082,"Klamath",1077
"153","SNTL","WA","cayuse pass ","Headwaters White River (171100140301)",2006-10-01,2019-12-10,46.87,-121.53,1597,"Pierce",1085
"154","SNTL","WA","lynn lake ","Howard Hansen Dam-Green River (171100130203)",2007-08-01,2019-12-10,47.2,-121.78,1189,"King",1069
"155","SNTL","WA","pepper creek ","Little Creek-Lewis River (170800020111)",2007-08-01,2019-12-10,46.1,-121.96,652,"Skamania",1104
"156","SNTL","AK","tokositna valley ","Upper Tokositna River (190205020903)",2005-10-01,2019-12-10,62.63,-150.78,259,"Matanuska-susitna",1089
"157","SNTL","AK","upper nome creek ","Sumner Creek-Nome Creek (190804020304)",2005-10-01,2019-12-10,65.37,-146.59,768,"Yukon-koyukuk",1090
"158","SNTL","ID","ragged mountain ","Rathdrum Creek (170103050302)",2006-08-01,2019-12-10,47.86,-117.04,1283,"Kootenai",1081
"159","SNTL","NM","tres ritos ","Osha Canyon-Rio Pueblo (130201010903)",2006-09-01,2019-12-10,36.13,-105.53,2621,"Taos",1083
"160","SNTL","OR","miller woods ","Baker Creek (170900080606)",2006-09-01,2019-12-10,45.25,-123.28,128,"Yamhill",1084
"161","SNTL","OR","sun pass ","Egan Spring-Williamson River (180102010602)",2006-06-01,2019-12-10,42.79,-121.98,1646,"Klamath",1078
"162","SNTL","WA","marten ridge ","Swift Creek (171100051004)",2006-07-01,2019-12-10,48.76,-121.7,1073,"Whatcom",999
"163","SNTL","WA","sawmill ridge ","Lester Creek-Green River (171100130104)",2006-07-01,2019-12-10,47.16,-121.42,1414,"King",1068
"164","SNTL","WY","grand targhee ","Spring Creek (170402040202)",2006-08-01,2019-12-10,43.78,-110.93,2822,"Teton",1082
"165","SNTL","AK","anchorage hillside ","South Fork Campbell Creek (190204010601)",2004-10-01,2019-12-10,61.11,-149.67,634,"Anchorage",1070
"166","SNTL","AK","esther island ","Esther Lake-Frontal Prince William Sound (190202011605)",2004-10-01,2019-12-10,60.8,-148.09,15,"Valdez-cordova",1071
"167","SNTL","AK","kantishna ","Moose Creek (190803101805)",2004-10-01,2019-12-10,63.54,-150.99,472,"Denali",1072
"168","SNTL","AK","mt. eyak ","Orca Inlet-Frontal Prince William Sound (190202010200)",2004-10-01,2019-12-10,60.55,-145.75,428,"Valdez-cordova",1073
"169","SNTL","CA","carson pass ","Caples Creek (180201290101)",2004-10-01,2019-12-10,38.69,-120,2548,"Alpine",1067
"170","SNTL","CO","bear river ","Yamcolo Reservoir-Bear River (140500010102)",2004-10-01,2019-12-10,40.06,-107.01,2768,"Routt",1061
"171","SNTL","CO","sharkstooth ","Bear Creek (140300020206)",2004-10-01,2019-12-10,37.5,-108.11,3267,"Montezuma",1060
"172","SNTL","UT","gardner peak ","Grass Valley Creek (150100080701)",2004-10-01,2019-12-10,37.4,-113.46,2537,"Washington",1066
"173","SNTL","UT","gutz peak ","Pine Park Canyon (150100100101)",2004-10-01,2019-12-10,37.5,-113.94,2061,"Washington",1065
"174","SNTL","UT","lightning ridge ","Left Fork South Fork Ogden River (160201020201)",2004-10-01,2019-12-10,41.36,-111.49,2504,"Weber",1056
"175","SNTL","CA","burnside lake ","Hot Springs Creek (160502010107)",2003-10-01,2019-12-10,38.72,-119.89,2478,"Alpine",1051
"176","SNTL","CA","forestdale creek ","Upper West Fork Carson River (160502010301)",2003-10-01,2019-12-10,38.68,-119.96,2444,"Alpine",1049
"177","SNTL","CA","horse meadow ","Middle West Fork Carson River (160502010302)",2003-10-01,2019-12-10,38.84,-119.89,2608,"Alpine",1050
"178","SNTL","CA","summit meadow ","Mill Creek (160503020203)",2003-10-01,2019-12-10,38.4,-119.54,2839,"Alpine",1052
"179","SNTL","CO","cochetopa pass ","Luders Creek (130100040203)",2004-09-01,2019-12-10,38.16,-106.6,3054,"Saguache",1059
"180","SNTL","CO","glen cove ","Headwaters Fountain Creek (110200030201)",2004-08-01,2019-12-10,38.88,-105.07,3493,"Teller",1057
"181","SNTL","CO","grayback ","East Fork Pinos Creek (130100020101)",2004-09-01,2019-12-10,37.47,-106.54,3542,"Rio Grande",1058
"182","SNTL","ID","myrtle creek ","Myrtle Creek (170101040701)",2003-10-01,2019-12-10,48.72,-116.46,1073,"Boundary",1053
"183","SNTL","OR","toketee airstrip ","Lower Fish Creek (171003010404)",2003-10-01,2019-12-10,43.23,-122.43,988,"Douglas",1044
"184","SNTL","UT","farmington lower ","Farmington Creek-Frontal Farmington Bay (160201020502)",2003-11-01,2019-12-10,40.99,-111.82,2066,"Davis",1054
"185","SNTL","WY","little snake river ","Little Snake River-Tennessee Creek (140500030103)",2004-07-01,2019-12-10,41.07,-106.94,2717,"Carbon",1047
"186","SNTL","AK","kachemak creek ","Bradley Lake (190203011101)",2003-09-01,2019-12-10,59.73,-150.66,506,"Kenai Peninsula",1063
"187","SNTL","AK","prudhoe bay ","190604010102 (190604010102)",2002-10-01,2019-12-10,70.27,-148.57,9,"North Slope",1177
"188","SNTL","AK","upper tsaina river ","Middle Tsina River (190201040203)",2002-10-01,2019-12-10,61.19,-145.65,533,"Valdez-cordova",1055
"189","SNTL","CO","beaver ck village ","Beaver Creek-Eagle Creek (140100030301)",2002-11-01,2019-12-10,39.6,-106.51,2591,"Eagle",1041
"190","SNTL","CO","mccoy park ","June Creek-Eagle River (140100030302)",2002-10-01,2019-12-10,39.6,-106.54,2890,"Eagle",1040
"191","SNTL","CO","wild basin ","Headwaters North Saint Vrain Creek (101900050202)",2002-12-01,2019-12-10,40.2,-105.6,2914,"Boulder",1042
"192","SNTL","NM","mcknight cabin ","Sheppard Canyon-Mimbres River (130302020103)",2003-09-01,2019-12-10,33.01,-107.87,2816,"Grant",1048
"193","SNTL","UT","cascade mountain ","Rock Canyon-Provo RIver (160202030505)",2002-10-01,2019-12-10,40.28,-111.61,2370,"Utah",1039
"194","SNTL","WA","mf nooksack ","Clearwater Creek (171100040303)",2002-10-01,2019-12-10,48.82,-121.93,1515,"Whatcom",1011
"195","SNTL","WA","sentinel butte ","West Deer Creek (170200021705)",2003-08-01,2019-12-10,48.86,-118.4,1426,"Ferry",1043
